year,doy,tmin,tmax,snow,calculated_snow,tcrown_min,tcrown_max,tcrown_avg,tcrown_kill,damage_occurence,damage,survive,hardening,hardening_first_stage,hardening_second_stage,dehardening_first_stage,dehardening_second_stage,forecasted
2022,322,1.9,7.2,0,0,1.9,7.2,4.6,-6.6,0,0,100,0.09782,0.09782,0,0,0,0
2022,323,2.2,6.5,0,0,2.2,6.5,4.4,-7.2,0,0,100,0.19639,0.09857,0,0,0,0
2022,324,3.1,11.8,0,0,3.1,11.8,7.5,-7.4,0,0,100,0.22956,0.06917,0,-0.036,-0.072,0
2022,325,1.9,11.3,0,0,1.9,11.3,6.6,-7.7,0,0,100,0.28457,0.08101,0,-0.026,-0.052,0
2022,326,0.6,6.2,0,0,0.6,6.2,3.4,-8.3,0,0,100,0.38455,0.09998,0,0,0,0
2022,327,6.1,13.9,0,0,6.1,13.9,10,-7.8,0,0,100,0.30655,0,0,-0.078,-0.156,0
2022,328,3.4,12.2,0,0,3.4,12.2,7.8,-8,0,0,100,0.326,0.06346,0,-0.044,-0.088,0
2022,329,9.1,10.2,0,0,9.1,10.2,9.7,-7.9,0,0,100,0.322,0,0,-0.004,-0.008,0
2022,330,-2.9,14.9,0,0,-0.3,14.9,7.3,-7.8,0,0,100,0.29573,0.07172,0,-0.098,-0.196,0
2022,331,-4.1,15.6,0,0,-1.3,15.6,7.1,-7.5,0,0,100,0.2574,0.07367,0,-0.112,-0.224,0
2022,332,2.7,7.5,0,0,2.7,7.5,5.1,-8.1,0,0,100,0.35234,0.09494,0,0,0,0
2022,333,-1.9,9.1,0,0,0.5,9.1,4.8,-8.7,0,0,100,0.44908,0.09674,0,0,0,0
2022,334,1.5,10.5,0,0,1.5,10.5,6,-9.2,0,0,100,0.52672,0.08765,0,-0.01,-0.02,0
2022,335,-2.9,8,0,0,-0.3,8,3.8,-9.8,0,0,100,0.62651,0.09978,0,0,0,0
2022,336,-1,6.6,0,0,1.2,6.6,3.9,-10.4,0,0,100,0.72619,0.09969,0,0,0,0
2022,337,-5.2,5.7,0,0,-2.2,5.7,1.8,-10.9,0,0,100,0.82019,0.094,0,0,0,0
2022,338,-0.5,4.8,0,0,1.6,4.8,3.2,-11.5,0,0,100,0.92001,0.09982,0,0,0,0
2022,339,-1.3,9.9,0,0,1,9.9,5.4,-12.1,0,0,100,1.01267,0.09266,0,0,0,0
2022,340,3,11.3,0,0,3,11.3,7.2,-11.8,0,0,100,0.96067,0.07367,0,-0.026,-0.052,0
2022,341,4,10.8,0,0,4,10.8,7.4,-12.1,0,0,100,1.01461,0.06994,0,-0.016,-0.032,0
2022,342,-0.2,9.7,0,0,1.8,9.7,5.8,-12.1,0,0,100,1.01461,0.08982,0,0,0,0
2022,343,6.4,9.7,0,0,6.4,9.7,8.1,-12.1,0,0,100,1.01461,0,0,0,0,0
2022,344,4.3,7.1,0,0,4.3,7.1,5.7,-12.1,0,0,100,1.01461,0.09043,0,0,0,0
2022,345,2.6,6.8,0,0,2.6,6.8,4.7,-12.1,0,0,100,1.01461,0.09715,0,0,0,0
2022,346,6.1,11.8,0,0,6.1,11.8,9,-11.7,0,0,100,0.94261,0,0,-0.036,-0.072,0
2022,347,10.3,11.7,0,0,10.3,11.7,11,-11.5,0,0,100,0.90861,0,0,-0.034,-0.068,0
2022,348,5.7,10.8,0,0,5.7,10.8,8.3,-11.4,0,0,100,0.89261,0,0,-0.016,-0.032,0
2022,349,6.6,9.9,0,0,6.6,9.9,8.3,-11.4,0,0,100,0.89261,0,0,0,0,0
2022,350,3.9,8.4,0,0,3.9,8.4,6.2,-11.9,0,0,100,0.97874,0.08612,0,0,0,0
2022,351,-1.3,7.9,0,0,1,7.9,4.4,-12.5,0,0,100,1.07704,0.0983,0,0,0,0
2022,352,1.8,11.1,0,0,1.8,11.1,6.5,-12.2,0,0,100,1.03304,0.0828,0,-0.022,-0.044,0
2022,353,-3.3,12.3,0,0,-0.7,12.3,5.8,-11.7,0,0,100,0.94104,0.08935,0,-0.046,-0.092,0
2022,354,-0.8,13.2,0,0,1.4,13.2,7.3,-11.7,0,0,100,0.94883,0.07179,0,-0.064,-0.128,0
2022,355,3.2,11,0,0,3.2,11,7.1,-12,0,0,100,1.00322,0.07439,0,-0.02,-0.04,0
2022,356,7.6,12.2,0,0,7.6,12.2,9.9,-11.5,0,0,100,0.91522,0,0,-0.044,-0.088,0
2022,357,8.7,12.7,0,0,8.7,12.7,10.7,-11.2,0,0,100,0.86122,0,0,-0.054,-0.108,0
2022,358,3.4,15.6,0,0,3.4,15.6,9.5,-10.5,0,0,100,0.74922,0,0,-0.112,-0.224,0
2022,359,2.3,13.6,0,0,2.3,13.6,8,-10.4,0,0,100,0.73808,0.06086,0,-0.072,-0.144,0
2022,360,-0.8,15.2,0,0,1.4,15.2,8.3,-9.8,0,0,100,0.63408,0,0,-0.104,-0.208,0
2022,361,-3.4,14,0,0,-0.7,14,6.6,-9.8,0,0,100,0.6347,0.08062,0,-0.08,-0.16,0
2022,362,-4.5,12.9,0,0,-1.6,12.9,5.6,-10,0,0,100,0.66766,0.09096,0,-0.058,-0.116,0
2022,363,0.5,8.8,0,0,0.5,8.8,4.7,-10.6,0,0,100,0.76505,0.09739,0,0,0,0
2022,364,7.6,10.4,0,0,7.6,10.4,9,-10.5,0,0,100,0.75705,0,0,-0.008,-0.016,0
2022,365,0,14.5,0,0,0,14.5,7.3,-10.4,0,0,100,0.73926,0.07221,0,-0.09,-0.18,0
2023,1,-1,16.8,0,0,1.2,16.8,9,-9.6,0,0,100,0.60326,0,0,-0.136,-0.272,0
2023,2,4.7,9.7,0,0,4.7,9.7,7.2,-10.1,0,0,100,0.6762,0.07294,0,0,0,0
2023,3,3.8,10,0,0,3.8,10,6.9,-10.5,0,0,100,0.75336,0.07715,0,0,0,0
2023,4,-5.1,11.5,0,0,-2.1,11.5,4.7,-10.9,0,0,100,0.82053,0.09717,0,-0.03,-0.06,0
2023,5,-5.7,13,0,0,-2.6,13,5.2,-11.1,0,0,100,0.85478,0.09425,0,-0.06,-0.12,0
2023,6,-6.2,12.6,0,0,-3,12.6,4.8,-11.4,0,0,100,0.89941,0.09664,0,-0.052,-0.104,0
